ID,Nome,Endereco,Telefone,Data_de_cadastro,CNPJ,Porte
23,Lara Rodriguez Moares Boaz,DF,09707-8687,24/12/2025,38.033.527/8689-78,MEI
24,Emily Oliveria Marques Pinheiro,TO,55482-3390,2/8/2022,73.045.021/0271-17,ME
25,Davi Paz Munhoz Oliveria,GO,39190-3892,12/9/2017,57.966.771/7956-84,ME
26,André Teixeira Barbieri Breda,TO,80865-2324,11/9/2023,77.249.891/5189-66,Medio Porte
27,Dorotéia Nascimento Lobato Marques,PI,68934-8372,19/11/2017,90.458.652/2302-38,ME
28,Patrick Nascimento Breda Ferraz,CE,17479-2677,14/11/2018,29.221.049/8701-47,MEI
29,Emily Brito Ferraz Breda,RS,29099-0027,24/11/2025,47.518.321/9580-51,Grande Porte
30,Jonas Fernandes Silva Boaz,PB,96690-5625,18/8/2016,72.400.731/5392-64,EPP
31,Bárbara Boaz Diones Munhoz,AP,72064-0669,15/12/2017,32.668.506/7922-50,EPP
32,Jonas Leme Leite Cardoso,PA,12350-9613,26/6/2021,40.478.709/2203-64,Medio Porte
33,Zulmira Brito Oliveria Rodrigues,RO,30132-2126,25/10/2017,95.902.841/3599-03,ME
34,Ben Moares Lobato Matos,RN,55201-1747,4/12/2015,75.909.919/7029-88,MEI
35,Frida Lobato Mendonça Moares,PI,16715-3999,27/3/2020,28.697.863/5511-92,ME
36,Carolina Paz Cabral Breda,RJ,59989-2049,4/4/2016,57.265.590/8044-84,ME
37,Creuza Ferreira Teixeira Rodriguez,CE,60452-7055,17/9/2024,89.671.247/9623-85,ME
38,Solange Mendonça Silva Silva,BA,92349-3035,19/10/2018,48.122.792/8544-09,ME
39,Vinícius Oliveria Barbieri Brito,PA,23242-9366,18/6/2022,84.674.125/2689-47,ME
40,Joelma Leite Rodriguez Ferraz,TO,49039-0294,15/12/2023,33.137.813/2178-66,EPP
41,Felipe Cabral Brito Cabral,SC,41124-6790,4/5/2016,97.828.241/8597-55,ME
42,Beatriz Cabral Diones Santana,PR,51600-1008,2/4/2024,02.065.195/3286-52,MEI
43,Giovanni Leme Nascimento Silva,ES,86951-4638,18/4/2023,10.047.746/2862-56,ME
44,Lucas Moares Paz Mendonça,MT,03781-2074,15/12/2023,75.801.568/0198-58,ME
45,Carla Rodrigues Leite Santana,RO,78442-6287,6/11/2018,15.012.539/0181-52,ME
46,Jacques Ferraz Lobato Diones,ES,63489-6886,9/4/2021,05.394.823/0264-05,Grande Porte
47,Louise Diones Rodriguez Rodrigues,PE,23200-0088,20/2/2023,37.968.700/4533-82,MEI
48,Sandra Brito Mendonça Boaz,DF,78400-1012,5/9/2021,39.403.394/4397-14,EPP
49,Laís Pinheiro Brito Pinheiro,AP,16120-1982,19/12/2024,02.103.962/7403-51,ME
50,Luiza Teixeira Ferreira Leme,DF,33804-1115,18/5/2019,47.916.536/9600-25,ME
51,Marlon Ferreira Coutinho Cabral,MS,97379-5989,23/6/2017,96.415.681/4141-50,EPP
52,Isabel Saboia Gonçalves Ferreira,DF,39690-1306,24/5/2017,43.231.868/8005-90,ME
53,Vinícius Mendonça Diones Boaz,SP,42880-0901,6/12/2020,21.649.146/6169-23,MEI
54,Anita Gonçalves Moares Matos,SP,60449-0801,14/10/2020,66.832.352/3747-85,ME
55,Dalva Leme Fernandes Santana,GO,67097-1562,8/1/2022,51.377.104/2889-90,Medio Porte
56,Marcelo Ferraz Matos Fernandes,RR,40814-9920,23/9/2023,28.018.955/6357-09,MEI
57,Rodolfo Saboia Munhoz Ferreira,MA,01860-7012,27/11/2019,24.520.011/3146-93,EPP
58,Lorena Nascimento Gonçalves Marques,AP,79725-5974,13/2/2021,77.013.026/2616-37,MEI
59,Samuel Matos Leme Lobato,MG,46929-0316,19/9/2017,85.515.771/9332-57,ME
60,Regina Barbieri Saboia Paz,PI,27652-1114,24/10/2019,75.650.876/6241-22,MEI
61,Guilherme Breda Leme Nascimento,BA,59070-3164,16/7/2022,60.708.786/1037-00,ME
62,Bárbara Leite Pinheiro Santana,CE,31850-0315,2/4/2021,63.072.806/0164-04,Medio Porte
63,Elizabeth Cardoso Cabral Paz,AP,64075-1236,9/5/2016,73.781.998/5835-25,ME
64,Isabel Ferraz Teixeira Fernandes,RS,78697-0499,14/7/2019,92.956.978/7100-60,ME
65,Guilherme Saboia Saboia Breda,PR,65112-6026,23/9/2016,98.934.211/8262-94,ME
66,Christina Matos Barbieri Coutinho,ES,31445-3324,2/11/2019,11.520.092/6522-97,Grande Porte
67,Alice Saboia Brito Mendonça,RS,84771-7149,18/10/2015,81.599.596/3908-88,EPP
68,Carlos Boaz Oliveria Matos,AL,95376-3923,13/6/2017,02.514.862/1491-06,EPP
69,Darwim Cardoso Saboia Santana,BA,83230-2145,18/3/2017,27.342.118/1464-45,ME
70,Cássia Brito Mendonça Munhoz,RR,85537-7695,17/12/2022,53.174.909/0588-50,EPP
71,Jonathan Coutinho Diones Mendonça,ES,88168-8615,12/9/2023,99.881.403/4264-91,EPP
72,Jean Saboia Munhoz Cabral,PR,18132-5582,17/10/2025,62.660.722/0807-15,MEI
73,Miguel Gonçalves Pinheiro Marques,AM,32377-6388,2/11/2020,83.070.705/2280-11,ME
74,Davi Brito Santana Oliveria,AC,80855-6916,12/10/2019,12.451.475/5863-43,Medio Porte
75,Jorge Boaz Cabral Boaz,PI,32076-8672,20/4/2022,22.980.537/6524-38,ME
76,Louise Paz Saboia Ferraz,TO,93502-7451,19/10/2020,73.390.347/3875-98,MEI
77,Emily Oliveria Ferreira Brito,MG,43793-6739,26/12/2015,25.939.878/0372-82,ME
78,Enzo Brito Boaz Oliveria,MA,16728-3201,22/12/2022,84.834.330/7187-72,MEI
79,Breno Saboia Oliveria Matos,RN,24285-8504,1/10/2024,66.176.688/9372-74,EPP
80,Wanda Breda Barbieri Munhoz,RJ,68916-0466,11/6/2018,23.288.082/9153-95,EPP
81,Luisa Breda Pinheiro Moares,AL,35304-3829,9/12/2016,79.966.559/1071-20,Grande Porte
82,Luisa Brito Mendonça Leite,RN,04354-3902,2/8/2025,89.905.941/9671-93,EPP
83,Luisa Diones Lobato Silva,RJ,28758-0704,21/6/2018,70.126.147/2890-14,ME
84,Rute Brito Fernandes Boaz,RS,79204-4271,25/5/2018,89.756.565/9399-24,ME
85,Abraão Gonçalves Leite Teixeira,AM,46221-2886,9/2/2021,92.125.028/5430-50,ME
86,Vitor Moares Moares Matos,TO,97355-8375,19/3/2021,54.408.499/4031-67,ME
87,Jorge Diones Leite Gonçalves,PB,10030-5853,14/7/2022,82.187.019/2388-15,ME
88,Emily Rodriguez Saboia Saboia,SC,21737-2202,6/11/2025,85.013.174/8452-67,ME
89,Luiza Barbieri Ferraz Ferraz,AP,18902-2077,25/8/2024,05.235.570/4794-30,Medio Porte
90,Pedro Lobato Mendonça Silva,AL,38494-2910,26/2/2018,22.740.115/1156-51,MEI
91,Bernardo Cabral Santana Cardoso,PA,56639-7601,18/5/2019,59.673.559/1166-20,EPP
92,Enzo Marques Ferraz Moares,RJ,51463-8981,25/7/2020,45.099.166/1532-27,MEI
93,Marlene Leme Moares Lobato,MT,05381-3153,19/9/2016,58.732.520/0326-34,EPP
94,Camilla Paz Ferraz Moares,AC,85193-9718,26/11/2025,39.161.632/1236-72,MEI
95,Palmira Santana Nascimento Nascimento,PA,58587-6826,3/2/2023,76.509.549/5738-89,ME
96,Frederico Ferreira Oliveria Diones,AM,71438-2506,2/12/2019,33.664.694/5603-53,Medio Porte
97,Nara Rodrigues Lobato Barbieri,RO,47095-0745,5/7/2020,64.303.730/8069-07,Medio Porte
98,Benjamim Silva Teixeira Paz,DF,40542-8859,14/5/2018,96.807.286/8172-92,MEI
99,Louise Paz Coutinho Leite,MS,33528-5973,22/12/2020,91.172.081/7197-86,MEI
100,Frida Ferraz Teixeira Gonçalves,SC,60976-9369,25/4/2023,10.330.739/7756-37,ME
101,Roberto Ferreira Brito Diones,PE,63464-3381,15/4/2022,36.336.616/2659-40,Medio Porte
102,Lucas Marques Cardoso Oliveria,SC,65452-1502,19/9/2021,28.558.824/3290-77,ME
103,Emily Ferreira Oliveria Breda,GO,65569-6321,17/7/2024,47.379.041/1070-74,EPP
104,Miguel Nascimento Saboia Pinheiro,AP,86900-5692,17/4/2015,37.151.719/9589-16,MEI
105,Patrick Coutinho Teixeira Leite,RJ,04142-9937,8/7/2021,19.415.118/4543-19,EPP
106,Dorotéia Rodrigues Santana Diones,TO,65718-1306,7/8/2016,36.797.100/1774-34,Medio Porte
107,Mafalda Leite Nascimento Cardoso,PA,16507-2306,25/6/2015,35.273.485/7108-45,ME
108,Gabriela Silva Gonçalves Teixeira,RN,71576-9046,23/4/2022,98.690.558/9730-30,EPP
109,Caetano Paz Saboia Ferraz,AC,12788-8583,21/10/2017,05.764.129/0539-97,ME
110,Wanda Fernandes Matos Ferreira,ES,33178-4056,14/12/2021,38.504.906/9139-60,EPP
111,Nara Fernandes Brito Ferreira,RJ,25548-2011,27/4/2020,90.322.204/7238-57,Medio Porte
112,Abraão Santana Rodriguez Cabral,MA,95332-1458,11/9/2024,28.495.000/0041-18,MEI
113,Dorotéia Moares Munhoz Coutinho,ES,34588-5236,18/10/2022,79.946.734/7372-43,ME
114,Fátima Matos Barbieri Diones,MA,21726-9763,5/8/2022,36.244.248/1975-64,MEI
115,Eduardo Lobato Santana Ferreira,PR,68628-4074,6/2/2023,05.565.418/0576-71,Medio Porte
116,Louise Cabral Brito Silva,RS,88796-7046,15/5/2021,60.244.244/2285-51,ME
117,Eduardo Mendonça Oliveria Leme,PA,14723-4979,3/10/2022,35.186.291/6890-49,EPP
118,Willian Cardoso Ferreira Rodrigues,ES,95510-0584,7/1/2020,61.549.904/7369-20,MEI
119,Emanuel Matos Moares Teixeira,SP,03673-7405,15/6/2022,08.144.489/5846-03,Medio Porte
120,Victor Rodriguez Ferreira Marques,SE,05416-5007,19/6/2023,37.128.743/1659-64,MEI
121,André Brito Breda Pinheiro,AL,82102-5397,14/6/2024,29.380.779/0715-78,MEI
122,Roberto Marques Munhoz Gonçalves,RO,30291-7687,22/2/2022,10.496.204/8119-50,EPP
123,Miguel Fernandes Silva Saboia,SE,00041-5777,5/5/2018,69.995.289/2040-07,Medio Porte
124,Marcelo Leite Munhoz Ferreira,PA,15469-3189,11/10/2022,56.488.285/1068-37,ME
125,Helena Ferraz Santana Leme,AC,77352-0749,24/3/2016,56.146.340/2163-12,EPP
126,Luiz Gonçalves Coutinho Silva,RJ,81797-0696,7/1/2020,02.938.022/0482-60,EPP
127,Jonas Saboia Marques Breda,ES,59559-2284,25/2/2025,04.695.938/4979-02,Medio Porte
128,Bruno Gonçalves Ferraz Boaz,RO,21586-8863,8/10/2018,81.125.840/1724-11,ME
129,Zulmira Fernandes Rodrigues Ferreira,CE,65929-8115,3/1/2024,44.431.099/5037-18,MEI
130,Abraão Oliveria Munhoz Munhoz,RS,36108-0676,7/6/2019,07.582.520/5165-55,EPP
131,Ayrton Fernandes Oliveria Ferraz,RO,65369-8775,1/8/2015,37.094.556/4716-38,ME
132,Sônia Barbieri Saboia Boaz,SC,98440-2605,5/12/2023,30.577.949/8510-18,EPP
133,Jorge Ferraz Rodrigues Marques,RS,01283-8757,6/12/2018,89.678.823/9911-31,MEI
134,Giovanni Ferreira Teixeira Cardoso,DF,12387-1892,20/11/2016,22.368.750/0897-80,EPP
135,Emily Breda Rodrigues Rodriguez,PI,90849-1744,7/9/2018,26.556.422/0624-70,MEI
136,Frida Diones Rodrigues Rodrigues,AL,01076-8344,25/6/2015,18.331.669/3448-67,MEI
137,Arthur Breda Breda Gonçalves,RS,76800-0338,3/11/2020,04.583.096/7884-85,MEI
138,Beatriz Paz Rodriguez Boaz,PE,30326-7932,14/1/2016,25.799.186/5339-26,EPP
139,Mafalda Mendonça Ferraz Nascimento,MA,63652-5434,19/4/2024,42.276.837/8980-04,ME
140,Emanuel Rodriguez Silva Oliveria,MG,86273-4519,26/11/2023,15.344.263/9229-88,ME
141,Elis Fernandes Cardoso Leme,DF,94461-2756,23/2/2023,69.085.380/2408-67,MEI
142,Maria Barbieri Barbieri Boaz,MG,12889-9559,13/12/2020,93.983.952/7665-81,ME
143,Sabrina Leme Barbieri Marques,PB,72335-5966,23/5/2018,53.567.477/6962-42,EPP
144,Miguel Breda Mendonça Lobato,SP,75174-2683,1/11/2021,27.146.725/8605-10,ME
145,Ariel Pinheiro Munhoz Matos,TO,06334-3558,16/1/2025,81.813.924/8296-77,EPP
146,Chico Nascimento Pinheiro Nascimento,PA,36785-1533,3/10/2019,40.737.617/5294-30,ME
147,Mateus Cabral Rodrigues Marques,AP,65751-9190,27/9/2024,58.652.205/1955-68,ME
148,Lorena Leite Gonçalves Rodriguez,SP,01378-5593,13/6/2017,97.747.277/2689-26,Medio Porte
149,Marlene Oliveria Pinheiro Gonçalves,RJ,57830-9353,9/8/2017,96.150.895/1876-94,ME
150,Helena Paz Boaz Gonçalves,SP,28977-1132,1/4/2021,20.660.583/7503-63,Medio Porte
151,Beatriz Fernandes Coutinho Munhoz,PE,56002-5320,24/3/2018,03.930.216/4363-44,MEI
152,Luisa Lobato Pinheiro Leme,BA,17945-9246,28/2/2024,99.454.417/4722-83,MEI
153,Laís Paz Pinheiro Silva,SP,00423-5629,2/6/2018,75.077.032/5379-03,ME
154,Juliana Gonçalves Santana Pinheiro,PR,21495-9964,26/1/2022,34.764.439/5979-91,MEI
155,Andréia Leite Cabral Moares,TO,24763-0630,10/7/2018,40.541.231/5352-49,EPP
156,Willian Rodrigues Rodrigues Oliveria,RS,21768-2046,19/4/2024,79.425.869/0409-21,MEI
157,Cláudio Leite Cardoso Gonçalves,MT,35056-0173,25/10/2015,84.975.014/3454-33,MEI
158,Sônia Ferraz Leme Rodrigues,MG,56645-4489,19/6/2024,08.483.960/1803-98,ME
159,Manoel Silva Fernandes Barbieri,SC,77170-8978,1/1/2018,06.700.941/1479-76,MEI
160,Juan Ferraz Breda Matos,RS,55835-1898,23/2/2020,78.560.279/5557-87,MEI
161,Clara Rodriguez Lobato Munhoz,BA,88001-3416,21/11/2022,37.498.336/8702-03,EPP
162,Jason Coutinho Gonçalves Barbieri,MT,89991-3340,11/9/2023,19.530.104/4896-90,EPP
163,Alice Santana Santana Ferreira,AC,96679-9393,13/6/2016,18.444.376/8438-86,ME
164,Danilo Leme Rodrigues Nascimento,GO,62216-7068,18/2/2018,70.943.468/2886-59,MEI
165,Ana Rodriguez Matos Paz,GO,95907-3171,10/8/2015,33.590.140/4409-51,MEI
166,Cassandra Gonçalves Paz Leme,SC,87013-2196,6/5/2025,20.853.879/0800-67,EPP
167,Alice Coutinho Rodrigues Munhoz,AC,43930-4021,4/3/2020,19.984.401/9487-56,ME
168,Carmem Leite Leite Diones,RN,89295-8363,10/2/2023,24.457.694/7507-03,ME
169,Lorena Boaz Mendonça Mendonça,RR,38231-8642,1/3/2021,53.913.234/8756-88,MEI
170,Bernardo Nascimento Breda Cabral,SE,71672-8710,4/7/2021,32.915.129/5220-16,ME
171,Bruno Rodriguez Coutinho Breda,RS,16084-1174,21/6/2020,48.850.343/2041-92,EPP
172,Andréia Fernandes Paz Boaz,PB,17841-7092,15/7/2017,64.512.664/3733-97,Medio Porte
173,Marlene Matos Coutinho Brito,PA,76623-6160,22/5/2020,63.242.532/6760-93,ME
174,Andréia Munhoz Pinheiro Boaz,AL,16766-7111,21/1/2015,28.667.384/7772-95,ME
175,Luisa Rodriguez Ferraz Moares,RS,70755-4830,5/11/2023,55.345.057/6601-28,ME
176,Adão Paz Brito Brito,MA,36782-7300,21/4/2025,71.117.144/9566-62,MEI
177,Mercedes Fernandes Ferraz Moares,AC,75856-6508,17/2/2018,25.566.713/6240-20,ME
178,Elis Rodrigues Teixeira Rodriguez,AL,87279-2623,1/5/2015,17.782.022/3470-18,EPP
179,Luiza Teixeira Teixeira Fernandes,RO,02294-6592,12/3/2025,29.464.176/4838-78,MEI
180,Josué Leme Lobato Gonçalves,SP,95032-0715,24/10/2025,13.810.357/0592-78,EPP
181,Carmem Paz Santana Fernandes,RJ,98004-5295,21/1/2025,72.263.730/5682-04,MEI
182,André Fernandes Cabral Munhoz,AP,39577-8922,11/7/2020,96.334.846/1642-35,ME
183,Marcos Ferraz Gonçalves Cardoso,DF,59767-3228,4/3/2021,21.400.389/6658-03,ME
184,Joelma Brito Diones Gonçalves,RJ,15153-5979,16/1/2017,30.916.571/2574-39,Grande Porte
185,Alice Rodriguez Ferraz Cabral,DF,21925-5158,5/12/2021,69.234.753/5014-52,EPP
186,Miguel Gonçalves Ferreira Silva,AC,46518-5723,25/7/2024,53.673.732/6630-76,EPP
187,Thomas Barbieri Ferreira Diones,GO,35239-6779,9/7/2024,47.022.260/4735-78,Grande Porte
188,Victor Cardoso Pinheiro Leite,PA,08974-6301,5/4/2020,78.046.580/4863-28,ME
189,Anderson Ferraz Ferraz Paz,PA,47983-8172,24/7/2015,72.471.145/0444-21,ME
190,Antonieta Santana Pinheiro Oliveria,MT,81003-6417,24/8/2018,07.680.165/5987-74,Grande Porte
191,Joelma Leme Silva Silva,AM,95839-4569,1/8/2021,63.496.177/3355-79,EPP
192,Esther Marques Ferraz Leme,AC,21644-7700,26/1/2015,19.817.895/9247-96,ME
193,Luiza Ferraz Diones Leite,SC,00273-5543,6/12/2023,32.394.808/3348-24,EPP
194,Victor Ferraz Silva Moares,SC,63993-8606,12/10/2021,85.477.686/0936-32,ME
195,Isabela Pinheiro Lobato Santana,AC,87574-9027,1/12/2025,31.357.697/1187-11,MEI
196,Miguel Gonçalves Ferreira Matos,PB,92234-7442,25/9/2017,46.005.326/3571-85,MEI
197,Raquel Rodrigues Mendonça Silva,TO,44883-7620,19/8/2015,22.057.568/7016-18,EPP
198,Andréia Pinheiro Moares Leme,GO,56067-2287,27/3/2025,05.749.271/1020-69,ME
199,Marlon Coutinho Saboia Cabral,RN,68976-1259,6/11/2015,61.319.082/3690-14,ME
200,Carmem Cardoso Oliveria Breda,RO,16809-6959,20/10/2017,37.653.847/0113-36,Medio Porte
201,Jorge Munhoz Barbieri Munhoz,SE,20931-2613,14/10/2025,21.375.740/8072-90,EPP
202,Vinícius Paz Mendonça Marques,TO,58021-2198,20/10/2018,60.699.980/3672-74,EPP
203,Caetano Cabral Brito Ferraz,CE,84694-8954,28/3/2024,01.828.065/0562-90,MEI
204,Enzo Cabral Teixeira Munhoz,RN,38075-0731,20/3/2017,83.043.198/0503-62,EPP
205,Juliana Leme Leme Santana,PB,85368-7373,10/10/2018,54.212.906/7063-68,ME
206,Caetano Boaz Fernandes Silva,SP,38428-0211,7/2/2018,21.833.047/6450-12,Medio Porte
207,João Leme Cardoso Leme,AM,42594-1794,11/2/2023,26.600.517/3893-02,ME
208,Anna Marques Rodriguez Moares,RO,86169-4146,12/10/2023,17.242.005/7380-45,EPP
209,Breno Mendonça Munhoz Mendonça,DF,79771-6689,27/2/2019,57.024.328/1764-02,ME
210,Pedro Cabral Diones Paz,RJ,03796-4907,28/2/2021,52.565.409/8799-64,Grande Porte
211,Antonieta Rodrigues Boaz Cabral,PI,70951-4582,6/11/2021,13.403.474/1521-57,EPP
212,Bruna Teixeira Teixeira Oliveria,AP,13172-0816,10/5/2019,17.262.987/5775-37,ME
213,Vanessa Leme Gonçalves Leme,MA,62150-2456,11/5/2015,99.682.772/8608-28,ME
214,Nayara Saboia Munhoz Pinheiro,CE,46254-0277,28/10/2017,84.488.248/0680-56,ME
215,Nara Leite Fernandes Mendonça,TO,71326-9442,16/9/2025,07.312.437/0414-54,MEI
216,Luisa Brito Cardoso Teixeira,SE,84087-1084,13/6/2016,62.012.557/0257-83,Medio Porte
217,Joaquim Breda Matos Moares,AP,26582-2855,18/6/2015,11.983.763/0357-89,ME
218,Patrick Boaz Silva Gonçalves,PR,10521-9718,19/11/2023,62.472.692/2083-54,EPP
219,Emily Fernandes Breda Brito,DF,92232-0490,24/1/2021,95.045.984/5031-44,Grande Porte
220,Rafael Brito Breda Santana,GO,14598-8960,24/8/2020,13.108.226/0462-57,Grande Porte
221,Ben Saboia Rodriguez Breda,ES,28178-4192,5/6/2015,23.769.026/8638-33,MEI
222,Frida Ferraz Paz Gonçalves,AC,71237-2802,10/2/2025,21.535.266/7151-32,MEI
223,Jason Oliveria Mendonça Barbieri,SP,04495-7787,5/4/2023,89.930.857/5415-55,EPP
224,Raquel Pinheiro Silva Ferraz,MA,62514-3596,1/9/2025,18.992.609/8429-39,Grande Porte
225,Emanuel Ferraz Rodriguez Rodrigues,PA,13532-8134,1/6/2016,40.518.878/2913-53,EPP
226,Rafael Matos Lobato Nascimento,RJ,33782-4694,8/3/2021,32.534.794/6213-87,EPP
227,Bruno Fernandes Brito Matos,SC,18800-6224,23/7/2025,88.623.513/1560-15,MEI
228,Darwim Ferreira Diones Cabral,PE,10401-1203,14/11/2016,94.150.912/3325-12,Grande Porte
229,Caio Fernandes Silva Oliveria,AL,91753-0696,9/9/2017,23.443.945/3929-92,EPP
230,Joaquim Pinheiro Rodrigues Leite,RO,36827-8310,28/9/2016,70.197.040/3208-04,Medio Porte
231,Luiz Ferraz Pinheiro Rodriguez,SE,72355-7218,13/11/2017,17.326.454/1789-38,ME
232,Regina Ferraz Cardoso Leme,PI,99974-8507,8/12/2024,21.620.860/1052-47,ME
233,Fátima Leite Mendonça Teixeira,RO,95273-2882,12/3/2020,28.073.782/3711-03,MEI
234,Ariel Oliveria Brito Oliveria,BA,63843-9621,18/4/2023,12.863.586/9267-14,MEI
235,Clara Lobato Brito Ferraz,MS,55155-7154,4/11/2020,84.110.533/6619-53,ME
236,Rute Silva Coutinho Ferreira,GO,69190-2077,19/12/2019,26.417.502/3459-46,MEI
237,Gustavo Lobato Teixeira Rodrigues,RJ,99659-1553,9/4/2018,36.071.949/3855-28,Grande Porte
238,Anna Fernandes Matos Barbieri,DF,33420-8816,23/10/2015,64.221.761/1054-88,MEI
239,Antonieta Boaz Brito Cabral,RJ,31060-6342,6/7/2025,10.614.020/8918-88,MEI
240,Dorotéia Santana Munhoz Mendonça,PI,40662-9932,28/11/2016,28.414.332/5491-76,MEI
241,Fátima Ferraz Mendonça Silva,MS,50148-9599,23/11/2018,62.253.767/4034-04,ME
242,Miguel Leite Marques Rodrigues,BA,29566-3559,23/7/2020,50.782.997/1245-21,ME
243,Isabela Cardoso Brito Marques,AM,13561-2208,4/1/2017,49.467.464/0149-38,MEI
244,Arthur Moares Moares Cardoso,MG,45567-9821,19/3/2017,97.649.815/6228-18,EPP
245,Lara Silva Leite Lobato,BA,16400-6457,16/3/2019,14.560.172/3051-37,MEI
246,Thereza Boaz Breda Mendonça,PA,54814-0936,5/9/2024,01.727.502/7825-51,MEI
247,Andréia Rodriguez Fernandes Teixeira,AL,44808-4057,14/10/2017,01.190.006/8743-46,ME
248,Elaine Marques Rodriguez Paz,TO,97307-1814,17/12/2018,34.570.512/8230-05,ME
249,Enzo Pinheiro Leite Brito,MA,76271-6683,25/8/2017,71.270.026/1674-80,ME
250,Solange Santana Paz Ferraz,ES,58158-8445,16/11/2024,30.311.722/1013-09,ME
251,Jonathan Lobato Paz Cardoso,RN,04645-6598,3/2/2024,86.767.807/6808-88,MEI
252,Vanessa Brito Breda Gonçalves,BA,38341-3844,22/8/2021,40.366.352/5369-62,EPP
253,Daniel Ferraz Brito Marques,PI,71006-6403,1/3/2020,36.074.451/0656-02,EPP
254,Nara Mendonça Pinheiro Matos,RS,96658-8750,26/12/2020,56.759.240/2966-25,MEI
255,Emanuel Moares Brito Teixeira,AM,07137-1476,15/8/2016,65.586.330/1363-74,EPP
256,Isabel Nascimento Cabral Leite,MT,95857-1670,27/11/2024,41.631.085/5049-50,EPP
257,Frederico Rodriguez Rodriguez Teixeira,TO,61583-4749,1/1/2017,50.754.886/1166-98,ME
258,Solange Leme Ferreira Leite,RN,59078-8268,10/10/2019,31.720.015/0163-16,EPP
259,Martha Coutinho Diones Silva,AP,57935-9706,7/12/2017,09.042.522/3933-81,MEI
260,Creuza Diones Saboia Rodriguez,GO,23231-9531,28/4/2022,54.165.988/9577-79,EPP
261,Vanessa Munhoz Fernandes Mendonça,AL,96184-5474,26/1/2019,45.554.497/0570-02,ME
262,Marcelo Matos Coutinho Moares,AP,89968-5027,14/2/2025,49.493.608/4467-80,ME
263,Patrick Gonçalves Leme Ferreira,RJ,31109-3567,14/8/2020,82.830.878/1178-95,Medio Porte
264,Andréia Barbieri Silva Ferraz,PA,01856-9570,14/7/2017,66.253.425/9555-02,Grande Porte
265,Cássia Breda Ferraz Munhoz,SE,10002-9540,10/6/2022,44.986.499/1939-06,ME
266,Adão Lobato Boaz Marques,PE,50877-5380,17/7/2025,93.726.143/2557-53,EPP
267,Joelma Oliveria Diones Teixeira,MA,39108-1808,26/2/2021,58.864.864/4363-00,ME
268,Abraão Munhoz Ferraz Silva,MT,93975-7309,16/1/2021,62.462.817/8135-81,ME
269,Henry Leme Brito Gonçalves,RR,82380-2943,16/11/2020,17.374.106/6604-93,Grande Porte
270,Bruno Leite Cardoso Teixeira,RN,60959-9891,1/10/2022,22.567.716/7007-40,ME
271,Davi Cabral Diones Mendonça,AC,37288-8681,10/3/2020,51.498.072/5274-18,EPP
272,Victor Teixeira Oliveria Rodriguez,SC,14343-3845,24/5/2016,75.925.442/9382-29,EPP
273,Rosana Barbieri Coutinho Munhoz,AP,60578-8525,20/2/2015,97.334.380/6707-99,MEI
